s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX,accumulated_sentiment
,168.42,168.42,168.42,168.42,0.0,1998-09-16,166.8697322,82.74911906,17.25088094,56.57349183,
,168.53,168.53,168.53,168.53,0.0,1998-09-17,167.0665643,84.42538934,15.57461066,59.0289492,
,169.01,169.01,169.01,169.01,0.0,1998-09-20,167.2714453,89.82064146,10.17935854,63.15141594,
,168.18,168.18,168.18,168.18,0.0,1998-09-22,167.5496141,51.36253673,48.63746327,51.06614745,
,168.28,168.28,168.28,168.28,0.0,1998-09-23,167.7832758,54.30882969,45.69117031,42.57644983,
,166.72,166.72,166.72,166.72,0.0,1998-09-24,169.01,24.89809904,75.10190096,44.10192025,
,166.22,166.22,166.22,166.22,0.0,1998-09-27,168.9642,20.45916499,79.54083501,47.09787021,
,165.75,165.75,165.75,165.75,0.0,1998-10-06,168.854432,16.91561771,83.08438229,50.91204908,
,167.35,167.35,167.35,167.35,0.0,1998-10-07,168.6681661,52.16858571,47.83141429,41.59707355,
,167.48,167.48,167.48,167.48,0.0,1998-10-08,168.4930761,54.14464397,45.85535603,34.93551642,
,167.95,167.95,167.95,167.95,0.0,1998-10-11,168.3284915,61.35902556,38.64097444,32.49202336,
,167.95,167.95,167.95,167.95,0.0,1998-10-12,168.1737821,61.35902556,38.64097444,30.53722891,
,168.42,168.42,168.42,168.42,0.0,1998-10-13,165.75,68.98366829,31.01633171,32.02325045,
,168.69,168.69,168.69,168.69,0.0,1998-10-14,165.8034,72.83302868,27.16697132,34.75181183,
,168.75,168.75,168.75,168.75,0.0,1998-10-15,165.918864,73.73838002,26.26161998,37.29680147,
,169.61,169.61,169.61,169.61,0.0,1998-10-18,166.0887322,83.55648682,16.44351318,43.26003591,
,170.07,170.07,170.07,170.07,0.0,1998-10-25,166.3704336,86.84479948,13.15520052,49.34594852,
,169.71,169.71,169.71,169.71,0.0,1998-10-26,166.7403902,72.6352417,27.3647583,48.5308555,
,170.6,170.6,170.6,170.6,0.0,1998-10-27,167.0733512,81.82506458,18.17493542,51.55471023,
,171.39,171.39,171.39,171.39,0.0,1998-10-28,167.4965491,86.75891679,13.24108321,55.9473349,
,172.0,172.0,172.0,172.0,0.0,1998-10-29,168.0416322,89.50798201,10.49201799,60.56106073,
,172.41,172.41,172.41,172.41,0.0,1998-11-01,168.674971,91.06630258,8.93369742,64.87536961,
,174.98,174.98,174.98,174.98,0.0,1998-11-03,169.3472763,95.87118354,4.128816457,70.24876911,
,176.81,176.81,176.81,176.81,0.0,1998-11-04,170.473821,97.20783974,2.792160263,75.08215118,
,179.29,179.29,179.29,179.29,0.0,1998-11-05,171.7410568,98.19675559,1.803244413,79.34442318,
,182.06,182.06,182.06,182.06,0.0,1998-11-08,173.2508454,98.79340445,1.206595551,82.99290032,
,181.67,181.67,181.67,181.67,0.0,1998-11-10,175.0126764,93.3570686,6.642931396,83.7371477,
,183.58,183.58,183.58,183.58,0.0,1998-11-11,176.4221411,95.03096668,4.969033323,85.00210483,
,183.77,183.77,183.77,183.77,0.0,1998-11-12,177.8537129,95.18193039,4.818069613,86.07445602,
